Zip,State,Population
62536,IL,739
62538,IL,374
62539,IL,1366
62543,IL,857
62544,IL,1737
62545,IL,2228
62546,IL,1418
62547,IL,1011
62548,IL,2500
62549,IL,5691
62550,IL,3112
62551,IL,850
62552,IL,810
62553,IL,796
62554,IL,1554
62555,IL,540
62556,IL,689
62557,IL,7081
62558,IL,2822
62560,IL,1660
62561,IL,3921
62563,IL,8726
62565,IL,7481
62567,IL,1280
62568,IL,17182
62571,IL,1505
62572,IL,547
62573,IL,1780
62601,IL,501
62611,IL,1008
62612,IL,1904
62613,IL,2696
62615,IL,3934
62617,IL,1118
62618,IL,7369
62621,IL,1101
62624,IL,766
62625,IL,1811
62626,IL,7343
62627,IL,1283
62628,IL,879
62629,IL,4922
62630,IL,683
62631,IL,460
62633,IL,1056
62634,IL,922
62635,IL,1144
62638,IL,1280
62639,IL,690
62640,IL,2454
62642,IL,1499
62643,IL,602
62644,IL,5593
62649,IL,518
62650,IL,28240
62655,IL,633
62656,IL,20130
62661,IL,1286
62664,IL,2968
62665,IL,2215
62666,IL,586
62667,IL,564
62668,IL,1387
62670,IL,1470
62671,IL,663
62672,IL,633
62673,IL,493
62674,IL,1490
62675,IL,5049
62676,IL,792
62677,IL,3081
62681,IL,4747
62682,IL,669
62683,IL,387
62684,IL,2185
62685,IL,844
62688,IL,1427
62690,IL,5939
62691,IL,2144
62692,IL,1968
62693,IL,2320
62694,IL,3909
62701,IL,1155
62702,IL,42047
62703,IL,32501
62704,IL,41611
62707,IL,16264
62801,IL,23956
62803,IL,1295
62806,IL,3162
62807,IL,1251
62808,IL,1260
62809,IL,165
62810,IL,1149
62812,IL,11419
62814,IL,2622
62815,IL,496
62816,IL,994
62817,IL,732
62818,IL,440
62819,IL,278
62820,IL,503
62821,IL,8234
62822,IL,5042
62823,IL,1403
62824,IL,1753
62827,IL,1388
62828,IL,1627
62829,IL,594
62830,IL,1552
62831,IL,732
62832,IL,10061
62833,IL,141
62835,IL,1145
62836,IL,1286
62837,IL,8723
62838,IL,925
62839,IL,6989
62840,IL,778
62842,IL,632
62843,IL,733
62844,IL,2569
62845,IL,641
62846,IL,800
62849,IL,965
62850,IL,1264
62851,IL,968
62853,IL,1261
62854,IL,2134
62855,IL,567
62858,IL,3688
62859,IL,4357
62860,IL,1505
62862,IL,412
62863,IL,11493
62864,IL,23844
62865,IL,474
62866,IL,269
62867,IL,558
62868,IL,2425
62869,IL,2377
62870,IL,1758
62871,IL,638
62872,IL,284
62875,IL,857
62877,IL,1087
62878,IL,377
62880,IL,725
62881,IL,11599
62882,IL,3145
62883,IL,528
62884,IL,2844
62885,IL,219
62886,IL,868
62887,IL,737
62888,IL,1788
62889,IL,1159
62890,IL,2413
62892,IL,371
62893,IL,1386
62894,IL,1923
62895,IL,1523
62896,IL,11800
62897,IL,370
62898,IL,1896
62899,IL,1252
62901,IL,31742
62905,IL,912
62906,IL,8151
62907,IL,1806
62908,IL,188
62910,IL,2565
62912,IL,696
62913,IL,80
62914,IL,5439
62916,IL,976
62917,IL,3355
62918,IL,10457
62919,IL,2266
62920,IL,2348
62922,IL,2743
62923,IL,618
62924,IL,2073
62926,IL,2361
62928,IL,677
62930,IL,7036
62931,IL,815
62932,IL,2091
62934,IL,1173
62935,IL,2802
62938,IL,2997
62939,IL,2867
62940,IL,982
62941,IL,603
62942,IL,903
62943,IL,2549
62946,IL,12122
62947,IL,699
62948,IL,13900
62950,IL,257
62951,IL,5424
62952,IL,3383
62953,IL,1687
62954,IL,581
62955,IL,686
62956,IL,710
62957,IL,1231
62958,IL,3893
62959,IL,20722
62960,IL,10500
62961,IL,356
62962,IL,122
62963,IL,845
62964,IL,2064
62966,IL,15335
62967,IL,512
62970,IL,692
62972,IL,463
62974,IL,1330
62975,IL,769
62976,IL,663
62977,IL,817
62979,IL,1686
62982,IL,1422
62983,IL,1344
62984,IL,2400
62985,IL,507
62987,IL,1255
62988,IL,2020
62990,IL,1732
62991,IL,867
62992,IL,787
62994,IL,681
62995,IL,2767
62996,IL,736
62997,IL,912
62998,IL,533
62999,IL,2502
63673,IL,130
46001,IN,11011
46011,IN,17280
46012,IN,20949
46013,IN,17037
46016,IN,22838
46017,IN,6038
46030,IN,4137
46031,IN,2450
46032,IN,40090
46034,IN,4309
46035,IN,1343
46036,IN,13598
46038,IN,11918
46039,IN,879
46040,IN,5887
46041,IN,20713
46044,IN,3723
46048,IN,763
46049,IN,1501
46050,IN,2038
46051,IN,3221
46052,IN,17322
46055,IN,1450
46056,IN,2957
46057,IN,2207
46058,IN,1938
46060,IN,26318
46064,IN,13824
46065,IN,2217
46068,IN,3570
46069,IN,7155
46070,IN,1902
46071,IN,4159
46072,IN,8060
46074,IN,6841
46075,IN,1378
46076,IN,1535
46077,IN,9759
46104,IN,1194
46105,IN,3147
46106,IN,3310
46107,IN,13051
46110,IN,958
46112,IN,18768
46113,IN,2681
46115,IN,1910
46117,IN,1762
46118,IN,4566
46120,IN,7062
46121,IN,1992
46122,IN,8632
46124,IN,5115
46126,IN,6682
46127,IN,531
46128,IN,1711
46130,IN,1555
46131,IN,14959
46133,IN,149
46135,IN,13300
46140,IN,28919
46142,IN,24735
46143,IN,24633
46147,IN,2355
46148,IN,3842
46149,IN,1586
46150,IN,1696
46151,IN,31539
46156,IN,2154
46157,IN,2205
46158,IN,18800
46160,IN,2193
46161,IN,2215
46162,IN,2353
46163,IN,3794
46164,IN,3528
46165,IN,1541
46166,IN,1244
46167,IN,3466
46168,IN,29182
46171,IN,2027
46172,IN,2293
46173,IN,11721
46175,IN,775
46176,IN,24691
46180,IN,1135
46181,IN,3538
46182,IN,1878
46184,IN,7226
46186,IN,2567
46201,IN,42096
46202,IN,15672
46203,IN,42566
46204,IN,4327
46205,IN,35328
46208,IN,39610
46214,IN,16644
46216,IN,1566
46217,IN,16644
46218,IN,39965
46219,IN,38198
46220,IN,35482
46221,IN,7920
46222,IN,39240
46224,IN,32130
46225,IN,8464
46226,IN,47144
46227,IN,52257
46229,IN,19914
46231,IN,5531
46234,IN,13865
46236,IN,31475
46237,IN,18919
46239,IN,8611
46240,IN,17553
46241,IN,44731
46250,IN,17196
46254,IN,23015
46256,IN,20589
46259,IN,3642
46260,IN,29718
46268,IN,14109
46278,IN,4727
46280,IN,5281
46290,IN,75
46303,IN,11557
46304,IN,19024
46307,IN,37816
46310,IN,10188
46311,IN,13426
46312,IN,33775
46319,IN,19758
46320,IN,16636
46321,IN,19906
46322,IN,24029
46323,IN,23456
46324,IN,23585
46327,IN,12384
46340,IN,941
46341,IN,6230
46342,IN,32127
46347,IN,3244
46348,IN,1352
46349,IN,2208
46350,IN,36301
46356,IN,12579
46360,IN,55392
46365,IN,2091
46366,IN,8426
46368,IN,40860
46371,IN,3694
46373,IN,4786
46374,IN,1499
46375,IN,14152
46382,IN,3155
46383,IN,53439
46390,IN,711
46391,IN,6212
46392,IN,5415
46394,IN,13157
46402,IN,10873
46403,IN,16489
46404,IN,23031
46405,IN,12437
46406,IN,15132
46407,IN,21360
46408,IN,21586
46409,IN,14119
46410,IN,30765
46501,IN,3630
46504,IN,2976
46506,IN,13832
46507,IN,7086
46510,IN,4891
46511,IN,3289
46514,IN,33830
46516,IN,29971
46517,IN,17983
46524,IN,1290
46526,IN,41317
46530,IN,17591
46531,IN,1077
46532,IN,4314
46534,IN,7437
46536,IN,3355
46538,IN,1823
46539,IN,2163
46540,IN,7737
46542,IN,4861
46543,IN,2078
46544,IN,29911
46545,IN,23031
46550,IN,10640
46552,IN,3574
46553,IN,2723
46554,IN,4056
46555,IN,6197
46556,IN,6903
46561,IN,8029
46562,IN,3128
46563,IN,16087
46565,IN,3850
46567,IN,7695
46570,IN,1188
46571,IN,5749
46573,IN,2776
46574,IN,5279
46580,IN,22851
46590,IN,7559
46601,IN,5479
46613,IN,11827
46614,IN,27521
46615,IN,15580
46616,IN,8132
46617,IN,11057
46619,IN,19880
46628,IN,24914
46635,IN,6989
46637,IN,16351
46701,IN,6907
46702,IN,2138
46703,IN,15134
46705,IN,1272
46706,IN,12503
46710,IN,2154
46711,IN,6577
46714,IN,14669
46721,IN,5982
46723,IN,6796
46725,IN,17282
46730,IN,2373
46731,IN,323
46732,IN,2872
46733,IN,19069
46737,IN,4248
46738,IN,6459
46740,IN,3676
46741,IN,4267
46742,IN,2344
46743,IN,653
46745,IN,1483
46746,IN,6040
46747,IN,2012
46748,IN,2265
46750,IN,23716
46755,IN,11784
46759,IN,518
46760,IN,2095
46761,IN,8410
46763,IN,3483
46764,IN,1496
46765,IN,3047
46766,IN,1027
46767,IN,5212
46770,IN,3084
46772,IN,873
46773,IN,4093
46774,IN,12742
46776,IN,1326
46777,IN,5394
46779,IN,1625
46781,IN,709
46783,IN,4973
46784,IN,3040
46785,IN,1161
46787,IN,3791
46788,IN,1905
46791,IN,2419
46792,IN,2404
46793,IN,3802
46794,IN,1545
46795,IN,5921
46797,IN,5044
46798,IN,691
46802,IN,10837
46803,IN,13295
46804,IN,23713
46805,IN,22657
46806,IN,28184
46807,IN,18346
46808,IN,19401
46809,IN,9804
46815,IN,25377
46816,IN,15507
46818,IN,10155
46819,IN,9139
46825,IN,19522
46835,IN,26758
46845,IN,9168
46901,IN,37261
46902,IN,36889
46910,IN,2617
46911,IN,1555
46913,IN,212
46914,IN,3073
46917,IN,1527
46919,IN,1353
46920,IN,2495
46923,IN,7576
46926,IN,5339
46928,IN,6230
46929,IN,3249
46932,IN,3059
46933,IN,6975
46936,IN,5785
46938,IN,3989
46939,IN,1966
46940,IN,2947
46941,IN,2255
46947,IN,27829
46950,IN,809
46951,IN,633
46952,IN,24986
46953,IN,22079
46960,IN,997
46962,IN,10772
46970,IN,19549
46971,IN,4364
46974,IN,1612
46975,IN,14259
46978,IN,1558
46979,IN,1724
46982,IN,1566
46985,IN,951
46986,IN,1891
46988,IN,873
46989,IN,6027
46990,IN,505
46991,IN,3670
46992,IN,17371
46994,IN,4935
46996,IN,6857
47001,IN,9435
47006,IN,6963
47010,IN,197
47011,IN,1376
47012,IN,9204
47016,IN,1522
47017,IN,802
47018,IN,3699
47020,IN,1019
47021,IN,218
47022,IN,2595
47023,IN,2384
47024,IN,3041
47025,IN,15358
47030,IN,1085
47031,IN,3877
47032,IN,2729
47036,IN,1398
47037,IN,4785
47038,IN,1265
47040,IN,4500
47041,IN,4719
47042,IN,4753
47043,IN,3974
47060,IN,5338
47102,IN,6713
47106,IN,4080
47108,IN,2900
47110,IN,779
47111,IN,9896
47112,IN,10928
47114,IN,239
47115,IN,3269
47116,IN,971
47117,IN,3273
47118,IN,3424
47119,IN,9954
47120,IN,1846
47122,IN,4446
47123,IN,154
47124,IN,1162
47125,IN,2496
47126,IN,2648
47129,IN,379
47130,IN,56543
47135,IN,1058
47136,IN,3524
47137,IN,1152
47138,IN,2803
47140,IN,1539
47141,IN,828
47142,IN,520
47143,IN,2381
47145,IN,1724
47147,IN,2246
47150,IN,44969
47160,IN,1593
47161,IN,4814
47162,IN,380
47163,IN,1738
47164,IN,814
47165,IN,5351
47166,IN,1146
47167,IN,10949
47170,IN,13114
47172,IN,8658
47174,IN,303
47175,IN,950
47177,IN,818
47201,IN,40769
47203,IN,15656
47220,IN,4963
47223,IN,813
47224,IN,936
47227,IN,896
47228,IN,1680
47229,IN,3865
47230,IN,1448
47231,IN,716
47232,IN,1222
47234,IN,1496
47235,IN,1380
47236,IN,412
47240,IN,19250
47243,IN,4900
47244,IN,543
47246,IN,5676
47250,IN,20596
47260,IN,1576
47264,IN,1834
47265,IN,13466
47270,IN,972
47272,IN,1389
47273,IN,5043
47274,IN,21094
47281,IN,1338
47282,IN,2277
47283,IN,3065
47302,IN,29709
47303,IN,26033
47304,IN,28452
47305,IN,5251
47306,IN,3259
47320,IN,4625
47325,IN,850
47326,IN,1350
47327,IN,4998
47330,IN,5475
47331,IN,25503
47334,IN,5063
47336,IN,4413
47338,IN,3637
47339,IN,677
47340,IN,1784
47341,IN,2020
47342,IN,4594
47345,IN,1054
47346,IN,3906
47348,IN,9762
47352,IN,1219
47353,IN,6126
47354,IN,1768
47355,IN,3544
47356,IN,4613
47357,IN,1488
47358,IN,1253
47359,IN,3753
47360,IN,1265
47362,IN,25888
47368,IN,1818
47369,IN,1236
47371,IN,13186
47373,IN,2971
47374,IN,50516
47380,IN,1343
47381,IN,741
47382,IN,1244
47383,IN,4009
47384,IN,2292
47385,IN,2270
47386,IN,3393
47387,IN,1300
47388,IN,1242
47390,IN,5393
47392,IN,540
47393,IN,1272
47394,IN,8830
47396,IN,5027
47401,IN,31456
47403,IN,23435
47404,IN,15079
47408,IN,30907
47421,IN,27071
47424,IN,9014
47427,IN,1647
47429,IN,4960
47431,IN,1003
47432,IN,3920
47433,IN,2269
47436,IN,1402
47438,IN,4340
47441,IN,9233
47443,IN,1706
47446,IN,9516
47448,IN,11751
47449,IN,386
47451,IN,1493
47452,IN,4309
47453,IN,1497
47454,IN,6790
47456,IN,2959
47459,IN,1832
47460,IN,10170
47462,IN,1726
47465,IN,1347
47468,IN,1111
47469,IN,1757
47470,IN,1960
47471,IN,2365
47501,IN,15495
47512,IN,4470
47513,IN,1591
47514,IN,1314
47515,IN,912
47516,IN,1167
47519,IN,1265
47520,IN,2290
47521,IN,858
47522,IN,371
47523,IN,3459
47524,IN,621
47525,IN,485
47527,IN,2200
47528,IN,497
47529,IN,2373
47531,IN,163
47532,IN,3725
47537,IN,824
47541,IN,2072
47542,IN,7415
47546,IN,16927
47550,IN,202
47551,IN,623
47552,IN,233
47553,IN,6068
47555,IN,240
47556,IN,1317
47557,IN,1915
47558,IN,2675
47559,IN,23
47561,IN,2569
47562,IN,4198
47564,IN,912
47567,IN,6614
47568,IN,895
47574,IN,297
47575,IN,2012
47576,IN,325
47577,IN,652
47578,IN,919
47579,IN,2323
47580,IN,199
47581,IN,4562
47585,IN,596
47586,IN,11583
47587,IN,151
47588,IN,727
47590,IN,393
47591,IN,26841
47597,IN,885
47598,IN,3994
47601,IN,11964
47610,IN,5641
47611,IN,1455
47612,IN,1277
47613,IN,3361
47615,IN,1990
47616,IN,329
47619,IN,1329
47620,IN,16037
47630,IN,21793
47631,IN,1432
47633,IN,2009
47634,IN,2862
47635,IN,4850
47637,IN,1378
47638,IN,3614
47639,IN,3568
47640,IN,1214
47647,IN,236
47648,IN,4031
47649,IN,1503
47660,IN,4244
47665,IN,3159
47666,IN,1434
47670,IN,11579
47708,IN,857
47710,IN,22336
47711,IN,9387
47712,IN,35603
47713,IN,14121
47714,IN,27381
47715,IN,30611
47720,IN,25504
47802,IN,29656
47803,IN,17709
47804,IN,11573
47805,IN,13652
47807,IN,19106
47832,IN,770
47833,IN,734
47834,IN,18960
47836,IN,818
47837,IN,790
47838,IN,2324
47840,IN,955
47841,IN,2275
47842,IN,9250
47846,IN,259
47847,IN,1833
47848,IN,1144
47849,IN,655
47850,IN,335
47854,IN,858
47858,IN,308
47859,IN,617
47861,IN,649
47862,IN,1444
47866,IN,1123
47868,IN,292
47872,IN,7895
47874,IN,3463
47879,IN,5300
47882,IN,8921
47885,IN,11459
47901,IN,2971
47904,IN,15231
47905,IN,53104
47906,IN,54702
47917,IN,794
47918,IN,5523
47920,IN,1646
47921,IN,1118
47922,IN,1341
47923,IN,3200
47926,IN,2102
47928,IN,3160
47929,IN,809
47930,IN,2119
47932,IN,4711
47933,IN,22838
47940,IN,1941
47942,IN,903
47943,IN,1254
47944,IN,3762
47946,IN,1808
47948,IN,1341
47949,IN,2318
47950,IN,673
47951,IN,2609
47952,IN,2183
47954,IN,2405
47955,IN,1274
47957,IN,2030
47959,IN,3119
47960,IN,13599
47963,IN,2461
47967,IN,909
47968,IN,1440
47970,IN,1527
47971,IN,1641
47974,IN,1672
47975,IN,1310
47977,IN,1937
47978,IN,9776
47980,IN,1148
47981,IN,694
47985,IN,711
47987,IN,3081
47989,IN,1548
47990,IN,1529
47991,IN,2957
47992,IN,145
47993,IN,3591
47994,IN,552
47995,IN,1909
50001,IA,491
50002,IA,1748
50003,IA,4884
50005,IA,773
50006,IA,1374
50007,IA,449
50008,IA,805
50009,IA,7546
50010,IA,52105
50020,IA,1529
50021,IA,20465
50022,IA,8468
50025,IA,4034
50026,IA,568
50027,IA,355
50028,IA,1381
50029,IA,971
50030,IA,195
50031,IA,501
50033,IA,273
50034,IA,458
50035,IA,2666
50036,IA,14773
50038,IA,100
50039,IA,552
50040,IA,437
50041,IA,406
50042,IA,416
50044,IA,707
50046,IA,1103
50047,IA,5109
50048,IA,1822
50049,IA,6836
50050,IA,797
50051,IA,557
50052,IA,125
50054,IA,3475
50055,IA,764
50056,IA,1293
50057,IA,304
50058,IA,1802
50059,IA,170
50060,IA,2617
50061,IA,635
50062,IA,996
50063,IA,1838
50064,IA,131
50065,IA,762
50066,IA,434
50067,IA,394
50068,IA,339
50069,IA,1535
50070,IA,824
50071,IA,1373
50072,IA,2010
50073,IA,1374
50074,IA,286
50075,IA,1129
50076,IA,1590
50101,IA,57
50102,IA,422
50103,IA,603
50104,IA,458
50106,IA,1221
50107,IA,1055
50108,IA,454
50109,IA,1324
50110,IA,344
50111,IA,4205
50112,IA,11530
50115,IA,3398
50116,IA,314
50117,IA,336
50118,IA,1201
50119,IA,683
50120,IA,419
50122,IA,1356
50123,IA,981
50124,IA,2417
50125,IA,13920
50126,IA,7714
50127,IA,378
50128,IA,423
50129,IA,5663
50130,IA,1348
50131,IA,4945
50132,IA,246
50133,IA,601
50134,IA,314
50135,IA,913
50136,IA,497
50138,IA,11205
50139,IA,700
50140,IA,2638
50141,IA,457
50143,IA,594
50144,IA,2556
50145,IA,468
50146,IA,585
50147,IA,586
50148,IA,512
50149,IA,619
50150,IA,1053
50151,IA,617
50152,IA,529
50153,IA,630
50154,IA,533
50155,IA,310
50156,IA,4367
50157,IA,1595
50158,IA,30857
50161,IA,1268
50162,IA,970
50163,IA,924
50164,IA,650
50165,IA,258
50166,IA,1705
50167,IA,517
50168,IA,725
50169,IA,2363
50170,IA,2868
50171,IA,3570
50172,IA,128
50173,IA,1137
50174,IA,1357
50201,IA,7381
50206,IA,445
50207,IA,2426
50208,IA,19721
50210,IA,1593
50211,IA,9512
50212,IA,3115
50213,IA,5528
50214,IA,676
50216,IA,1847
50217,IA,621
50218,IA,258
50219,IA,10771
50220,IA,7918
50222,IA,442
50223,IA,380
50225,IA,2474
50226,IA,4203
50227,IA,298
50228,IA,1941
50229,IA,1488
50230,IA,804
50231,IA,508
50232,IA,245
50233,IA,1236
50234,IA,564
50235,IA,563
50236,IA,1452
50237,IA,2309
50238,IA,1018
50239,IA,328
50240,IA,1169
50241,IA,632
50242,IA,464
50244,IA,2083
50246,IA,1001
50247,IA,1618
50248,IA,3501
50249,IA,1215
50250,IA,1463
50251,IA,1096
50252,IA,691
50254,IA,453
50256,IA,256
50257,IA,767
50258,IA,937
50261,IA,1780
50262,IA,431
50263,IA,4933
50264,IA,388
50265,IA,31896
50268,IA,1108
50271,IA,1036
50272,IA,505
50273,IA,7254
50274,IA,596
50275,IA,677
50276,IA,1749
50277,IA,414
50278,IA,1032
50309,IA,4879
50310,IA,30498
50311,IA,19816
50312,IA,16424
50313,IA,16175
50314,IA,11709
50315,IA,36434
50316,IA,16359
50317,IA,39883
50320,IA,8444
50321,IA,7233
50322,IA,28512
50325,IA,7293
50401,IA,31168
50420,IA,664
50421,IA,3306
50423,IA,3988
50424,IA,1566
50428,IA,10056
50430,IA,737
50432,IA,543
50433,IA,308
50434,IA,766
50435,IA,1273
50436,IA,6010
50438,IA,3756
50439,IA,452
50440,IA,630
50441,IA,5313
50444,IA,605
50446,IA,522
50447,IA,1181
50448,IA,729
50449,IA,849
50450,IA,2801
50451,IA,789
50452,IA,966
50453,IA,333
50454,IA,248
50455,IA,382
50456,IA,1757
50457,IA,298
50458,IA,1849
50459,IA,2982
50460,IA,442
50461,IA,5790
50464,IA,453
50465,IA,435
50466,IA,1546
50467,IA,306
50468,IA,1258
50469,IA,2009
50470,IA,405
50471,IA,688
50472,IA,2401
50473,IA,420
50475,IA,1988
50476,IA,798
50477,IA,414
50478,IA,1178
50479,IA,905
50480,IA,1159
50482,IA,816
50483,IA,647
50484,IA,511
50501,IA,27632
50510,IA,1293
50511,IA,7829
50514,IA,1464
50515,IA,413
50516,IA,1270
50517,IA,1346
50518,IA,481
50519,IA,555
50520,IA,359
50521,IA,355
50522,IA,1069
50523,IA,1009
50524,IA,821
50525,IA,3849
50527,IA,278
50528,IA,536
50530,IA,1366
50531,IA,260
50532,IA,1561
50533,IA,4109
50535,IA,1195
50536,IA,4794
50538,IA,631
50539,IA,779
50540,IA,1438
50541,IA,604
50542,IA,1148
50543,IA,1225
50544,IA,631
50545,IA,262
50546,IA,586
50548,IA,6493
50551,IA,296
50552,IA,295
50553,IA,192
50554,IA,2055
50556,IA,384
50557,IA,821
50558,IA,645
50559,IA,560
50560,IA,1337
50561,IA,235
50562,IA,721
50563,IA,2131
50565,IA,564
50566,IA,541
50567,IA,356
50568,IA,1668
50569,IA,1910
50570,IA,301
50571,IA,1119
50573,IA,275
50574,IA,2802
50575,IA,1197
50576,IA,236
50577,IA,545
50578,IA,860
50579,IA,2952
50580,IA,286
50581,IA,1250
50582,IA,529
50583,IA,3531
50585,IA,1542
50586,IA,425
50588,IA,11663
50590,IA,1440
50591,IA,463
50594,IA,719
50595,IA,9130
50597,IA,1099
50598,IA,1252
50599,IA,394
50601,IA,2316
50602,IA,1458
50603,IA,1356
50604,IA,1436
50605,IA,317
50606,IA,1124
50607,IA,344
50608,IA,363
50609,IA,395
50611,IA,465
50612,IA,694
50613,IA,36084
50616,IA,10110
50619,IA,2757
50621,IA,1346
50622,IA,2543
50624,IA,1860
50625,IA,1302
50626,IA,1676
50627,IA,3689
50628,IA,2102
50629,IA,1770
50630,IA,1830
50632,IA,869
50633,IA,382
50635,IA,1268
50636,IA,2480
50638,IA,4130
50640,IA,362
50641,IA,1480
50642,IA,222
50643,IA,2641
50644,IA,8466
50645,IA,869
50647,IA,2008
50648,IA,3505
50649,IA,301
50650,IA,830
50651,IA,3990
50652,IA,433
50653,IA,940
50654,IA,557
50655,IA,899
50658,IA,2007
50659,IA,5783
50660,IA,1362
50662,IA,8426
50665,IA,3544
50666,IA,1030
50667,IA,367
50668,IA,1858
50669,IA,2099
50670,IA,1834
50671,IA,175
50672,IA,650
50674,IA,3187
50675,IA,2064
50676,IA,1993
50677,IA,10879
50680,IA,1353
50681,IA,1044
50682,IA,1330
50701,IA,29194
50702,IA,18939
50703,IA,21256
50706,IA,1010
50707,IA,7954
50801,IA,9548
50830,IA,1450
50833,IA,2608
50835,IA,203
50836,IA,476
50837,IA,1383
50840,IA,593
50841,IA,2660
50843,IA,695
50844,IA,100
50845,IA,793
50846,IA,1534
50847,IA,315
50848,IA,617
50849,IA,2772
50850,IA,309
50851,IA,1973
50852,IA,81
50853,IA,794
50854,IA,2487
50855,IA,335
50857,IA,706
50858,IA,1042
50859,IA,205
50860,IA,327
50861,IA,586
50862,IA,199
50863,IA,347
50864,IA,1794
51001,IA,2068
51002,IA,2757
51003,IA,1371
51004,IA,1550
51005,IA,1543
51006,IA,1552
51007,IA,796
51009,IA,431
51010,IA,533
51012,IA,8339
51014,IA,541
51016,IA,1432
51018,IA,261
51019,IA,906
51020,IA,626
51022,IA,592
51023,IA,3097
51024,IA,2449
51025,IA,1977
51026,IA,894
51027,IA,1154
51028,IA,2138
51029,IA,607
51030,IA,1481
51031,IA,11576
51033,IA,722
51034,IA,2038
51035,IA,1654
51036,IA,625
51037,IA,333
51038,IA,1468
51039,IA,2064
51040,IA,3867
51041,IA,6126
51044,IA,340
51046,IA,1760
51047,IA,640
51048,IA,642
51049,IA,562
51050,IA,2254
51051,IA,120
51052,IA,1210
51053,IA,1311
51054,IA,2853
51055,IA,1303
51056,IA,495
51058,IA,1096
51059,IA,387
51060,IA,567
51061,IA,519
51062,IA,1435
51063,IA,895
51101,IA,765
51103,IA,16831
51104,IA,20441
51105,IA,10372
51106,IA,25974
51107,IA,258
51108,IA,4615
51109,IA,2592
51110,IA,189
51111,IA,12
51201,IA,5585
51230,IA,494
51231,IA,194
51232,IA,1090
51234,IA,1652
51235,IA,957
51237,IA,2326
51238,IA,1491
51239,IA,2283
51240,IA,1434
51241,IA,2097
51243,IA,688
51245,IA,2167
51246,IA,3956
51247,IA,4100
51248,IA,1632
51249,IA,3853
51250,IA,7417
51301,IA,12101
51331,IA,1109
51333,IA,732
51334,IA,8614
51338,IA,1153
51340,IA,471
51342,IA,1259
51343,IA,630
51345,IA,333
51346,IA,2574
51347,IA,1320
51350,IA,395
51351,IA,2964
51354,IA,1596
51355,IA,1637
51357,IA,1035
51358,IA,1283
51360,IA,6683
51363,IA,333
51364,IA,863
51365,IA,371
51366,IA,343
51401,IA,11456
51430,IA,1183
51431,IA,577
51432,IA,367
51433,IA,882
51436,IA,773
51439,IA,797
51440,IA,562
51441,IA,618
51442,IA,8507
51443,IA,1518
51444,IA,720
51445,IA,3633
51446,IA,1120
51447,IA,395
51448,IA,753
51449,IA,2539
51450,IA,1792
51451,IA,396
51452,IA,525
51453,IA,615
51454,IA,1185
51455,IA,1807
51458,IA,1776
51459,IA,231
51460,IA,346
51461,IA,1191
51462,IA,814
51463,IA,681
51465,IA,790
51466,IA,1481
51467,IA,714
51501,IA,31614
51503,IA,30513
51510,IA,3200
51520,IA,194
51521,IA,2032
51523,IA,373
51525,IA,1398
51526,IA,1967
51527,IA,375
51528,IA,1313
51529,IA,1836
51530,IA,1068
51531,IA,990
51532,IA,879
51533,IA,1529
51534,IA,6392
51535,IA,1678
51536,IA,427
51537,IA,6934
51540,IA,267
51541,IA,564
51542,IA,656
51543,IA,614
51544,IA,980
51545,IA,402
51546,IA,2764
51548,IA,714
51549,IA,475
51550,IA,631
51551,IA,1409
51552,IA,388
51553,IA,917
51554,IA,1276
51555,IA,4330
51556,IA,505
51557,IA,793
51558,IA,589
51559,IA,1766
51560,IA,2385
51561,IA,1228
51562,IA,511
51563,IA,691
51564,IA,673
51565,IA,476
51566,IA,7395
51570,IA,941
51571,IA,483
51572,IA,665
51573,IA,1315
51575,IA,1619
51576,IA,1652
51577,IA,1293
51578,IA,420
51579,IA,2105
51601,IA,6226
51630,IA,284
51631,IA,351
51632,IA,6652
51636,IA,387
51637,IA,537
51638,IA,1433
51639,IA,1055
51640,IA,1997
51645,IA,318
51646,IA,702
51647,IA,287
51648,IA,327
51649,IA,419
51650,IA,447
51651,IA,456
51652,IA,1948
51653,IA,1626
51654,IA,521
51656,IA,257
52001,IA,41934
52002,IA,12734
52003,IA,13104
52030,IA,741
52031,IA,2884
52032,IA,861
52033,IA,3155
52035,IA,1401
52036,IA,262
52037,IA,927
52038,IA,618
52039,IA,874
52040,IA,4709
52041,IA,1566
52042,IA,2095
52043,IA,2887
52044,IA,129
52045,IA,1931
52046,IA,2120
52047,IA,638
52048,IA,191
52049,IA,1408
52050,IA,679
52052,IA,4113
52053,IA,1139
52054,IA,1132
52057,IA,7823
52060,IA,8374
52064,IA,1083
52065,IA,835
52066,IA,404
52068,IA,1565
52069,IA,1376
52070,IA,1174
52071,IA,757
52072,IA,466
52073,IA,1381
52074,IA,492
52075,IA,497
52076,IA,1825
52077,IA,562
52078,IA,797
52079,IA,1320
52101,IA,13593
52131,IA,484
52132,IA,2218
52133,IA,1103
52134,IA,571
52135,IA,817
52136,IA,5785
52140,IA,757
52141,IA,963
52142,IA,1939
52144,IA,1095
52146,IA,915
52147,IA,1205
52150,IA,369
52151,IA,1717
52154,IA,1450
52155,IA,672
52156,IA,388
52157,IA,1344
52158,IA,276
52159,IA,4670
52160,IA,749
52161,IA,1349
52162,IA,885
52164,IA,159
52165,IA,636
52166,IA,638
