Zip,State,Population
36069,AL,1712
36071,AL,1976
36075,AL,1876
36078,AL,12046
36080,AL,2683
36081,AL,19358
36083,AL,10687
36088,AL,6915
36089,AL,7555
36091,AL,3702
36092,AL,13725
36104,AL,17086
36105,AL,16486
36106,AL,15744
36107,AL,10345
36108,AL,30780
36109,AL,25282
36110,AL,12551
36111,AL,11600
36113,AL,2788
36115,AL,1348
36116,AL,32314
36117,AL,21623
36201,AL,38370
36203,AL,12407
36205,AL,4128
36206,AL,10915
36250,AL,5776
36251,AL,4518
36255,AL,796
36256,AL,2334
36258,AL,1405
36260,AL,3999
36262,AL,1473
36263,AL,374
36264,AL,6577
36265,AL,16438
36266,AL,4345
36267,AL,863
36268,AL,4998
36269,AL,265
36270,AL,2407
36271,AL,3369
36272,AL,12921
36273,AL,3696
36274,AL,9430
36276,AL,1949
36277,AL,7453
36278,AL,3101
36279,AL,2137
36280,AL,2291
36301,AL,32689
36303,AL,32407
36310,AL,5416
36311,AL,1434
36312,AL,5115
36314,AL,183
36316,AL,620
36317,AL,157
36318,AL,750
36319,AL,2934
36320,AL,8517
36322,AL,8885
36323,AL,6662
36330,AL,29102
36340,AL,5471
36343,AL,2017
36344,AL,4819
36345,AL,4595
36346,AL,1517
36349,AL,1686
36350,AL,4854
36351,AL,1809
36352,AL,1660
36353,AL,1525
36360,AL,19017
36362,AL,7607
36370,AL,595
36373,AL,2503
36374,AL,1048
36375,AL,4504
36376,AL,1810
36401,AL,8556
36419,AL,0
36420,AL,16920
36425,AL,1620
36426,AL,15479
36432,AL,2881
36435,AL,1109
36436,AL,272
36441,AL,3585
36442,AL,3421
36444,AL,154
36445,AL,6179
36446,AL,2163
36451,AL,4089
36453,AL,3523
36454,AL,515
36456,AL,1222
36460,AL,10492
36467,AL,9901
36471,AL,1826
36473,AL,208
36474,AL,2005
36475,AL,1750
36477,AL,4790
36480,AL,1648
36481,AL,2040
36482,AL,790
36483,AL,1583
36502,AL,15948
36505,AL,140
36507,AL,17816
36509,AL,4901
36510,AL,264
36511,AL,2001
36515,AL,30
36518,AL,3094
36521,AL,1322
36522,AL,7233
36523,AL,3897
36524,AL,1374
36525,AL,2569
36526,AL,14607
36527,AL,5486
36528,AL,824
36529,AL,723
36530,AL,2551
36532,AL,16331
36535,AL,8520
36538,AL,472
36539,AL,848
36540,AL,301
36541,AL,10344
36542,AL,4930
36544,AL,6181
36545,AL,9679
36548,AL,1086
36549,AL,3833
36550,AL,649
36551,AL,2712
36553,AL,4211
36555,AL,1088
36558,AL,2825
36560,AL,5053
36561,AL,2549
36562,AL,986
36567,AL,3519
36569,AL,688
36570,AL,896
36571,AL,13151
36572,AL,6197
36574,AL,606
36575,AL,9329
36576,AL,8001
36579,AL,1214
36580,AL,881
36582,AL,20185
36583,AL,327
36584,AL,475
36585,AL,1681
36586,AL,1001
36587,AL,5905
36602,AL,1263
36603,AL,12162
36604,AL,11498
36605,AL,31621
36606,AL,18247
36607,AL,8610
36608,AL,37600
36609,AL,23687
36610,AL,24919
36611,AL,6660
36612,AL,6096
36613,AL,13517
36615,AL,864
36617,AL,17882
36618,AL,14887
36619,AL,12728
36693,AL,17704
36695,AL,21467
36701,AL,26569
36703,AL,12931
36720,AL,1340
36722,AL,1098
36726,AL,4948
36727,AL,392
36728,AL,366
36732,AL,9992
36736,AL,2635
36738,AL,831
36740,AL,2121
36742,AL,599
36744,AL,7680
36748,AL,5438
36749,AL,428
36750,AL,1995
36751,AL,323
36752,AL,1478
36754,AL,222
36756,AL,7284
36758,AL,946
36759,AL,796
36761,AL,1714
36762,AL,24
36765,AL,1131
36767,AL,2680
