Date,Location,Zip Code,Population,Household Income,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate
1/5/11,"Omaha, Nebraska",68137,24538.0,60691.0,1819.0,7.412992094,890.0,3.627027468
3/31/11,"Houston, Texas",77078,16753.0,30368.0,5630.0,33.60592133,1110.0,6.625678982999999
2/27/12,"Chardon, Ohio",44021,6052.0,56767.0,673.0,11.12029081,124.0,2.048909451
4/2/12,"Oakland, California",94621,31833.0,31082.0,10524.0,33.06003204,2420.0,7.602173845
10/31/12,"Los Angeles, California",90007,43173.0,22420.0,17031.0,39.44826628,2691.0,6.233062331
12/14/12,"Newtown, Connecticut",6482,11218.0,106926.0,741.0,6.605455517999999,521.0,4.644321626
1/15/13,"Hazard, Kentucky",41701,17468.0,38021.0,3567.0,20.42019693,642.0,3.6752919619999997
1/22/13,"Houston, Texas",77073,38406.0,51206.0,7090.0,18.46065719,1474.0,3.8379419880000003
4/16/13,"Grambling, Louisiana",71245,4620.0,24104.0,1818.0,39.35064935,427.0,9.242424242
6/7/13,"Santa Monica, California",90405,28560.0,75717.0,3361.0,11.76820728,1836.0,6.428571429
8/23/13,"Sardis, Mississippi",38666,6794.0,29316.0,2267.0,33.36767736,291.0,4.283191051
10/21/13,"Sparks, Nevada",89431,36812.0,37110.0,7720.0,20.97142236,2750.0,7.47039009
11/13/13,"Pittsburgh, Pennsylvania",15216,23054.0,50998.0,2282.0,9.898499176,947.0,4.1077470289999996
1/14/14,"Roswell, New Mexico",88201,25462.0,47730.0,3636.0,14.28010368,519.0,2.038331631
5/5/14,"Seattle, Washington",98119,22360.0,68383.0,2112.0,9.445438283,884.0,3.953488372
6/10/14,"Troutdale, Oregon",97060,21530.0,59422.0,3801.0,17.65443567,1356.0,6.298188574
10/24/14,"Marysville, Washington",98271,27625.0,66188.0,2888.0,10.45429864,1602.0,5.799095023
12/12/14,"Portland, Oregon",97217,31929.0,53972.0,4908.0,15.37160575,1889.0,5.916251683
1/15/15,"Milwaukee, Wisconsin",53213,26046.0,63005.0,1796.0,6.89549259,588.0,2.257544345
2/23/15,"Daytona Beach, Florida",32114,32630.0,25150.0,11168.0,34.22617223,1980.0,6.06803555
5/24/15,"Flint, Michigan",48507,31512.0,32162.0,9437.0,29.94732166,2672.0,8.479309469
9/3/15,"Sacramento, California",95822,43024.0,43624.0,10756.0,25.0,2905.0,6.75204537
10/1/15,"Roseburg, Oregon",97470,19972.0,38270.0,4751.0,23.78830363,1580.0,7.911075506
10/9/15,"Flagstaff, Arizona",86011,6512.0,10938.0,540.0,8.292383292,857.0,13.16031941
10/22/15,"Nashville, Tennessee",37209,36000.0,43625.0,6650.0,18.47222222,1434.0,3.983333333
2/9/16,"Muskegon Heights, Michigan",49444,27091.0,29588.0,6806.0,25.12273449,2108.0,7.781181942000001
2/29/16,"Middletown, Ohio",45042,26623.0,48481.0,3567.0,13.39818954,1680.0,6.310333171
4/23/16,"Antigo, Wisconsin",54409,13056.0,42020.0,2021.0,15.47947304,510.0,3.90625
6/8/16,"Dorchester, Massachusetts",2121,27093.0,28238.0,8714.0,32.16328941,3045.0,11.23906544
9/9/16,"Alpine, Texas",79830,7514.0,42062.0,858.0,11.41868512,190.0,2.528613255
9/28/16,"Townville, South Carolina",29689,4168.0,55943.0,555.0,13.31573896,174.0,4.174664107
10/18/16,"San Francisco, California",94112,82726.0,71625.0,8569.0,10.35829123,5047.0,6.10086309
4/10/17,"San Bernardino, California",92407,58275.0,51471.0,10927.0,18.75075075,4167.0,7.1505791510000005
9/13/17,"Rockford, Washington",99030,967.0,56053.0,84.0,8.686659772,41.0,4.23991727
11/14/17,"Rancho Tehama Reserve, California",96021,16352.0,41099.0,3778.0,23.10420744,1026.0,6.27446184
12/7/17,"Aztec, New Mexico",87410,16968.0,54649.0,2692.0,15.86515794,619.0,3.6480433760000004
1/23/18,"Marshall County, Kentucky",42025,19744.0,42310.0,2274.0,11.51742301,871.0,4.411466775
2/1/18,"Los Angeles, California",90026,68726.0,44327.0,15990.0,23.26630387,5839.0,8.496056805
2/14/18,"Parkland, Florida",33076,31107.0,107318.0,1801.0,5.789693637999999,1023.0,3.288648857
3/20/18,"Great Mills, Maryland",20634,6562.0,79944.0,610.0,9.295946358,266.0,4.053642182
5/18/18,"Santa Fe, Texas",77517,6235.0,83472.0,825.0,13.23175621,207.0,3.319967923
5/18/18,"Jonesboro, Georgia",30236,44082.0,40107.0,9823.0,22.28347171,3481.0,7.8966471579999995
