Zipcode,Population,Household Income,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate
00601,18450.0,12041.0,10816.0,58.62330623306233,1464.0,7.934959349593496
00602,41302.0,15663.0,22409.0,54.25645247203525,4767.0,11.541813955740642
00603,53683.0,15485.0,26220.0,48.8422778160684,4341.0,8.0863588100516
00606,6591.0,15019.0,3721.0,56.45577302382036,134.0,2.033075405856471
00610,28963.0,16707.0,14569.0,50.302109588095156,1134.0,3.9153402617132205
00612,68055.0,17848.0,30695.0,45.10322533245169,3805.0,5.591066049518772
00616,10183.0,15342.0,4808.0,47.215948148875576,324.0,3.1817735441421977
00617,24879.0,14982.0,13362.0,53.707946460870616,1394.0,5.603119096426705
00622,6165.0,14281.0,3700.0,60.01622060016221,135.0,2.18978102189781
00623,44704.0,17389.0,21322.0,47.69595561918396,1617.0,3.6171259842519685
00624,25340.0,14768.0,15095.0,59.5698500394633,2358.0,9.30544593528019
00627,34806.0,19527.0,15541.0,44.65034764121128,2421.0,6.955697293570074
00631,1747.0,11596.0,906.0,51.86033199771036,199.0,11.3909559244419
00637,24996.0,16430.0,12384.0,49.54392702832453,2448.0,9.793566970715315
00638,18742.0,13860.0,11271.0,60.13765873439334,970.0,5.175541564400811
00641,30401.0,14924.0,16917.0,55.64619584882076,3041.0,10.002960428933259
00646,38303.0,28306.0,13665.0,35.67605670574106,2440.0,6.3702582043181994
00647,5640.0,13925.0,3050.0,54.07801418439716,482.0,8.546099290780141
00650,14969.0,16133.0,8176.0,54.619547063932124,982.0,6.560224463892044
00652,3461.0,12809.0,1742.0,50.332273909274775,72.0,2.0803236058942502
00653,13461.0,12595.0,8990.0,66.7855285639997,1361.0,10.11069014189139
00656,21172.0,15054.0,11207.0,52.9331192140563,1690.0,7.982240695257888
00659,41932.0,19199.0,19332.0,46.10321472860822,2946.0,7.025660593341601
00660,17151.0,21107.0,5564.0,32.441257069558624,1105.0,6.442773016150662
00662,43535.0,15600.0,23794.0,54.65487538761916,2304.0,5.292293556908235
00664,16508.0,19342.0,8562.0,51.865762054761326,1519.0,9.201599224618366
00667,25797.0,14081.0,15533.0,60.21242780168237,699.0,2.709617397371787
00669,28984.0,11790.0,18000.0,62.103229367927135,2623.0,9.049820590670715
00670,9689.0,15817.0,5527.0,57.044070595520694,203.0,2.095159459180514
00674,43848.0,18048.0,20376.0,46.4696223316913,3263.0,7.441616493340631
00676,39916.0,14697.0,20916.0,52.40004008417677,2865.0,7.177572903096503
00677,15108.0,15875.0,8064.0,53.37569499602859,1324.0,8.763568970082076
00678,27229.0,14877.0,15659.0,57.50853869036689,1288.0,4.730250835506261
00680,56003.0,15115.0,27935.0,49.88125636126636,3272.0,5.842544149420567
00682,32509.0,15067.0,17053.0,52.45624288658525,1861.0,5.724568581008336
00683,33442.0,15587.0,15191.0,45.42491477782429,694.0,2.0752347347646674
00685,41947.0,14623.0,23075.0,55.00989343695616,2849.0,6.791904069420936
00687,32609.0,14797.0,18201.0,55.81587905179552,2998.0,9.193780858045326
00688,13340.0,14148.0,7206.0,54.01799100449775,404.0,3.028485757121439
00690,6299.0,19474.0,2821.0,44.78488648991903,610.0,9.684076837593269
00692,37618.0,18500.0,18509.0,49.20250943697166,2579.0,6.8557605401669415
00693,60211.0,16406.0,30388.0,50.46918337180914,2233.0,3.708624669910814
00694,157.0,10750.0,132.0,84.07643312101911,0.0,0.0
00698,41179.0,15099.0,22115.0,53.704558148570875,4054.0,9.844823817965468
00703,29153.0,14673.0,15885.0,54.48838884505883,1379.0,4.7302164442767465
00704,7867.0,12612.0,4271.0,54.29007245455701,556.0,7.067497139951697
00705,25373.0,15892.0,12258.0,48.31119694163087,712.0,2.8061325030544277
00707,12070.0,18446.0,6765.0,56.048053024026515,1040.0,8.616404308202155
00714,19443.0,16350.0,10037.0,51.62269197140359,1949.0,10.024173224296662
00715,4315.0,14114.0,2916.0,67.5782155272306,357.0,8.273464658169177
00716,32180.0,18878.0,15438.0,47.973896830329394,2504.0,7.781230577998757
00717,17972.0,12407.0,10508.0,58.46872913420877,1582.0,8.802581793901625
00718,26767.0,17123.0,13837.0,51.69425038293421,1485.0,5.547876116113124
00719,30793.0,16672.0,15835.0,51.42402494073328,1067.0,3.4650732309291072
00720,23080.0,14903.0,13781.0,59.70970537261699,2032.0,8.80415944540728
00723,19017.0,14506.0,10561.0,55.534521743703,1988.0,10.45380449071883
00725,90206.0,20926.0,37435.0,41.499456798882555,6452.0,7.152517570893289
00727,56972.0,29433.0,17588.0,30.871305202555643,3054.0,5.360527978656182
00728,42692.0,18637.0,20315.0,47.58502763983885,3587.0,8.402042537243512
00729,54768.0,22438.0,22334.0,40.779287174992696,4466.0,8.15439672801636
00730,37931.0,16259.0,19267.0,50.7948643589676,3341.0,8.808098916453561
00731,14525.0,15733.0,7712.0,53.09466437177281,1306.0,8.991394148020653
00735,13495.0,19615.0,5645.0,41.830307521304185,600.0,4.44609114486847
00736,51576.0,21206.0,20654.0,40.04575771676749,3225.0,6.25290832945556
00738,34492.0,22140.0,13912.0,40.33399049054853,2981.0,8.642583787544938
00739,38673.0,24638.0,14432.0,37.31802549582396,1995.0,5.158637809324335
00740,1760.0,11026.0,1130.0,64.20454545454545,249.0,14.147727272727273
00741,5025.0,18397.0,2220.0,44.17910447761194,322.0,6.407960199004975
00745,54681.0,23275.0,21466.0,39.25678023445072,4972.0,9.092737879702273
00751,23430.0,13565.0,13836.0,59.052496798975675,1518.0,6.47887323943662
00754,40330.0,17904.0,18536.0,45.96082320852963,2326.0,5.76741879494173
00757,23231.0,18033.0,11382.0,48.99487753432913,935.0,4.024794455684215
00765,9206.0,17500.0,3923.0,42.61351292635238,332.0,3.6063436888985443
00766,25991.0,16517.0,13927.0,53.58393289984995,2763.0,10.630602901004194
00767,37442.0,17306.0,19178.0,51.22055445756103,2468.0,6.591528230329576
00769,40026.0,17710.0,20296.0,50.70704042372458,1717.0,4.289711687403188
00771,38504.0,18553.0,18841.0,48.93257843340952,2629.0,6.8278620403075
00772,21712.0,16432.0,11561.0,53.24705232129698,2653.0,12.219049373618276
00773,19918.0,18593.0,8580.0,43.076614117883324,1987.0,9.975901194899086
00775,1478.0,16188.0,792.0,53.58592692828146,42.0,2.841677943166441
00777,40892.0,18574.0,18837.0,46.0652450357038,2940.0,7.189670351168933
00778,46109.0,27475.0,16254.0,35.25125246698042,2382.0,5.166019649092368
00780,13418.0,21706.0,5554.0,41.39215978536294,1128.0,8.406617975853331
00782,18504.0,12527.0,10759.0,58.1441850410722,536.0,2.896670990056204
00783,36466.0,16201.0,19171.0,52.57225909065979,1686.0,4.623484890034553
00784,43746.0,17540.0,20922.0,47.82608695652174,2885.0,6.594888675536049
00786,335.0,22656.0,12.0,3.582089552238806,0.0,0.0
00791,52760.0,20364.0,22396.0,42.44882486732373,2689.0,5.096664139499621
00794,30688.0,14986.0,17847.0,58.15628258602711,1007.0,3.281412930135558
00795,47580.0,17278.0,24965.0,52.46952501050862,3078.0,6.469104665825977
