State/Zip,2000 Population
AL36250,4095
AL36251,5205
AL36255,968
AL36256,934
AL36258,1579
AL36260,4433
AL36262,1239
AL36263,690
AL36264,8665
AL36265,16012
AL36266,5346
AL36267,58
AL36268,5641
AL36269,1301
AL36270,1171
AL36271,5645
AL36272,14148
AL36273,2654
AL36274,11647
AL36276,2597
AL36277,5129
AL36278,3439
AL36279,2523
AL36280,2836
AL362HH,0
AL362XX,11
AL36301,32295
AL36303,27744
AL36305,9763
AL36310,6991
AL36311,2985
AL36312,5858
AL36313,286
AL36314,603
AL36316,1937
AL36317,502
AL36318,1206
AL36319,2353
AL36320,3196
AL36322,7797
AL36323,8692
AL36330,28629
AL36340,5435
AL36343,1607
AL36344,5281
AL36345,6707
AL36346,1970
AL36350,5308
AL36351,3144
AL36352,4156
AL36353,1743
AL36360,20646
AL36362,6088
AL36370,777
AL36371,733
AL36373,657
AL36374,962
AL36375,7454
AL36376,3107
AL363HH,0
AL36401,8610
AL36420,20002
AL36425,1327
AL36426,16033
AL36432,2634
AL36435,836
AL36436,493
AL36441,3685
AL36442,3290
AL36444,901
AL36445,4887
AL36446,803
AL36451,5494
AL36453,2564
AL36455,492
AL36456,2093
AL36460,11958
AL36467,9591
AL36470,240
AL36471,1356
AL36473,142
AL36474,3134
AL36475,2506
AL36476,223
AL36477,4520
AL36480,1610
AL36481,538
AL36482,1111
AL36483,491
AL364HH,0
AL364XX,164
AL36501,636
AL36502,18743
AL36505,976
AL36507,19110
AL36509,2646
AL36511,302
AL36513,492
AL36515,374
AL36518,2946
AL36521,4515
AL36522,6875
AL36523,3229
AL36524,1324
AL36525,2270
AL36526,19675
AL36527,7503
AL36528,1369
AL36529,580
AL36530,6362
AL36532,22024
AL36535,17830
AL36538,536
AL36539,648
AL36540,474
AL36541,13042
AL36542,7776
AL36544,11039
AL36545,8886
AL36548,1067
AL36549,4370
AL36550,305
AL36551,6216
AL36553,3646
AL36556,261
AL36558,3906
AL36559,411
AL36560,4761
AL36561,4413
AL36562,1637
AL36564,107
AL36567,10651
AL36569,1187
AL36570,477
AL36571,13797
AL36572,5634
AL36574,1160
AL36575,15389
AL36576,3316
AL36577,17
AL36578,519
AL36579,1906
AL36580,4667
AL36581,106
AL36582,20436
AL36583,578
AL36584,919
AL36585,989
AL36587,8591
AL365HH,0
AL365XX,266
AL36602,867
AL36603,12526
AL36604,11533
AL36605,33471
AL36606,19007
AL36607,7776
AL36608,37251
AL36609,23882
AL36610,19717
AL36611,6364
AL36612,5075
AL36613,11816
AL36617,16158
AL36618,15718
AL36619,13389
AL36693,18099
AL36695,33010
AL366HH,0
AL36701,25316
AL36703,13872
AL36720,837
AL36722,681
AL36723,342
AL36726,5779
AL36727,96
AL36728,464
AL36732,8733
AL36736,1348
AL36738,810
AL36740,1328
AL36742,2671
AL36744,7854
AL36748,4053
AL36749,1213
AL36750,3032
AL36751,981
AL36752,1898
AL36754,406
AL36756,6009
AL36758,1721
AL36759,1904
AL36761,1461
AL36763,131
AL36765,1421
AL36767,2265
AL36768,579
AL36769,3064
AL36773,572
AL36775,1172
AL36776,1795
AL36779,610
AL36782,2507
AL36783,1159
AL36784,8559
AL36785,1498
AL36786,3821
AL36790,189
AL36792,1030
AL36793,739
AL367HH,0
AL367XX,253
AL36801,20523
AL36804,15401
AL36830,27176
AL36832,18794
AL36849,1997
AL36850,2973
AL36852,1786
AL36853,8114
AL36854,14346
AL36855,1517
AL36856,1468
AL36858,525
AL36860,2034
AL36861,3491
AL36862,7055
AL36863,13687
