State/Zip,2000 Population
HI96781,1573
HI96782,37879
HI96783,1895
HI96785,2855
HI96786,41605
HI96789,45093
HI96790,6690
HI96791,7908
HI96792,42342
HI96793,21762
HI96795,9872
HI96796,2205
HI96797,63228
HI967HH,0
HI967XX,48
HI96813,21435
HI96814,13906
HI96815,27507
HI96816,48839
HI96817,52044
HI96818,54856
HI96819,47299
HI96821,18655
HI96822,43921
HI96825,27657
HI96826,31187
HI96862,0
HI96863,2505
HI968HH,0
ID83120,
ID831XX,
ID83201,36188
ID83202,17286
ID83203,469
ID83204,17764
ID83210,3405
ID83211,5931
ID83212,157
ID83213,1692
ID83214,633
ID83215,20
ID83217,826
ID83218,130
ID83220,150
ID83221,24338
ID83223,268
ID83226,2328
ID83227,310
ID83228,604
ID83232,241
ID83234,1204
ID83235,88
ID83236,2400
ID83237,891
ID83238,141
ID83239,610
ID83241,2026
ID83243,95
ID83244,330
ID83245,1436
ID83246,907
ID83250,2132
ID83251,1012
ID83252,3942
ID83253,172
ID83254,4066
ID83255,1138
ID83261,594
ID83262,1349
ID83263,8348
ID83271,544
ID83272,274
ID83274,8194
ID83276,4359
ID83277,149
ID83278,290
ID83281,111
ID83283,123
ID83285,191
ID83286,1114
ID83287,139
ID832HH,0
ID832XX,116
ID83301,41905
ID83302,208
ID83311,395
ID83312,140
ID83313,3043
ID83314,906
ID83316,9171
ID83318,16074
ID83320,855
ID83321,580
ID83322,47
ID83323,1980
ID83324,562
ID83325,1019
ID83327,888
ID83328,4509
ID83330,5962
ID83332,2319
ID83333,8253
ID83334,1952
ID83335,1758
ID83336,4913
ID83337,18
ID83338,15698
ID83340,5587
ID83341,4861
ID83342,1148
ID83344,1190
ID83346,1312
ID83347,3042
ID83348,128
ID83349,864
ID83350,12676
ID83352,2456
ID83353,988
ID83354,90
ID83355,4907
ID833HH,0
ID833XX,137
ID83401,29673
ID83402,24615
ID83404,18514
ID83406,8214
ID83420,2385
ID83421,280
ID83422,2028
ID83423,938
ID83424,191
ID83425,666
ID83427,651
ID83428,242
ID83429,749
ID83431,814
ID83433,49
ID83434,1578
ID83435,536
ID83436,642
ID83440,25597
ID83442,12576
ID83443,866
ID83444,1381
ID83445,6784
ID83446,26
ID83448,2153
ID83449,358
ID83450,1052
ID83451,634
ID83452,980
ID83455,2650
ID83462,597
ID83463,53
ID83464,375
ID83465,128
ID83466,204
ID83467,6086
ID83468,187
ID83469,15
ID834HH,0
ID834XX,133
ID83501,32579
ID83520,131
ID83522,2090
ID83523,846
ID83524,784
ID83525,395
ID83526,251
ID83530,5166
ID83533,211
ID83535,1079
ID83536,3650
ID83537,1209
ID83539,3083
ID83540,2221
ID83541,1100
ID83542,199
ID83543,719
ID83544,6083
ID83545,488
ID83546,757
ID83547,270
ID83548,117
ID83549,798
ID83552,249
ID83553,1111
ID83554,490
ID83555,443
ID835HH,0
ID835XX,201
ID83601,54
ID83602,23
ID83604,879
ID83605,26141
ID83607,16394
ID83610,1024
ID83611,2149
ID83612,1679
ID83615,642
ID83616,15111
ID83617,14201
ID83619,5895
ID83620,220
ID83622,1780
ID83623,1938
ID83624,1144
ID83626,1210
ID83627,616
ID83628,4245
ID83629,1628
ID83631,1242
ID83632,220
ID83633,409
ID83634,12595
ID83637,206
ID83638,4832
ID83639,2632
ID83641,2715
ID83642,45974
ID83643,95
ID83644,6271
ID83645,583
ID83647,16846
ID83648,8894
ID83650,522
ID83651,20736
ID83654,1302
ID83655,3907
ID83656,332
ID83657,171
ID83660,5281
ID83661,9685
ID83666,55
ID83669,2988
ID83670,377
ID83671,8
ID83672,8365
ID83676,3810
ID83677,45
ID83686,31213
ID83687,19068
ID836HH,0
ID836XX,627
ID83702,21673
ID83703,25900
ID83704,38744
ID83705,27113
ID83706,30643
ID83709,33354
ID83712,8303
ID83713,22309
ID83714,7922
ID83716,10624
ID83788,0
ID837HH,0
ID837XX,32
ID83801,4967
ID83802,126
ID83803,296
ID83804,1037
ID83805,6436
ID83806,372
ID83808,110
ID83809,450
ID83810,1192
ID83811,1137
ID83812,97
ID83813,993
ID83814,22432
ID83815,22279
ID83821,230
ID83822,1890
ID83823,1187
ID83824,284
ID83826,94
ID83827,166
ID83830,684
ID83832,1497
ID83833,1393
ID83834,238
ID83835,14776
ID83836,1046
ID83837,3100
ID83839,1575
ID83841,235
ID83842,144
ID83843,24955
ID83845,1603
ID83846,714
ID83847,1584
ID83848,197
ID83849,2182
ID83850,2279
ID83851,1591
ID83852,241
ID83853,126
ID83854,27385
ID83855,2055
ID83856,6283
ID83857,744
ID83858,10210
ID83860,5182
ID83861,6278
ID83864,16168
ID83866,300
ID83867,281
ID83868,681
ID83869,3637
ID83870,418
ID83871,1795
ID83872,622
ID83873,2439
ID83874,59
ID83876,1310
ID838HH,0
ID838XX,184
ID97910,
ID97913,
ID979HH,
ID99128,
IL52761,
IL60002,19442
IL60004,52735
IL60005,29183
IL60007,35162
IL60008,23318
IL60010,39819
IL60012,9919
IL60013,24226
IL60014,44468
IL60015,27224
IL60016,58611
IL60018,29950
IL60020,6457
IL60021,5877
IL60022,8490
IL60025,49574
IL60029,354
IL60030,32340
IL60031,37461
IL60033,13269
IL60034,1896
IL60035,29772
IL60037,901
IL60040,5645
IL60041,9286
IL60042,8877
IL60043,2617
IL60044,15516
IL60045,22248
IL60046,30225
IL60047,38168
IL60048,28562
IL60050,47813
IL60053,21668
IL60056,56625
IL60060,37027
IL60061,20328
IL60062,40392
IL60064,16121
IL60067,50825
IL60068,37732
IL60069,7204
IL60070,16126
IL60071,2905
IL60072,348
IL60073,39115
IL60074,23963
IL60076,34263
IL60077,25040
IL60081,8321
IL60083,5387
IL60084,13061
IL60085,72937
IL60087,23530
IL60088,13319
IL60089,42115
IL60090,36736
IL60091,27386
IL60093,19528
IL60096,6853
IL60097,10434
IL60098,27526
IL60099,29882
IL600HH,0
IL60101,38141
IL60102,47985
IL60103,75585
IL60104,20571
IL60106,22404
IL60107,35638
IL60108,21960
IL60109,158
IL60110,32145
IL60111,305
IL60112,1294
IL60113,304
IL60115,42372
IL60118,14739
IL60119,7705
IL60120,48581
IL60123,55201
IL60126,45355
IL60129,291
IL60130,15688
IL60131,19342
IL60134,21497
IL60135,6007
IL60136,1459
IL60137,38026
IL60139,32303
IL60140,7315
IL60141,247
IL60142,7891
IL60143,10021
IL60145,2591
IL60146,2238
IL60148,50460
IL60150,1677
IL60151,3554
IL60152,10974
IL60153,26863
IL60154,16714
IL60155,8254
IL60157,2111
IL60160,23034
IL60162,8513
IL60163,5212
IL60164,21682
IL60165,5171
IL60171,10681
IL60172,25349
IL60173,12046
IL60174,31513
IL60175,17953
IL60176,11636
IL60177,16941
IL60178,16477
IL60180,1743
IL60181,30161
IL60184,698
IL60185,32936
IL60187,61481
IL60188,43730
IL60190,12065
IL60191,14360
IL60192,1775
IL60193,41099
IL60194,41366
IL60195,29924
IL601HH,0
IL60201,41977
IL60202,32208
IL60203,4691
IL60301,2158
IL60302,32527
IL60304,17839
IL60305,11635
IL60401,5537
IL60402,60373
IL60406,25370
IL60407,1604
IL60408,5077
IL60409,39065
IL60410,7585
IL60411,60461
IL60415,14039
IL60416,7288
IL60417,15780
IL60419,25567
IL60420,6123
IL60421,3516
IL60422,9224
IL60423,22853
IL60424,2311
IL60425,9011
IL60426,47649
IL60429,16070
IL60430,21152
IL60431,23392
IL60432,21431
IL60433,17658
IL60435,52542
IL60436,16184
IL60437,233
IL60438,28950
IL60439,20004
IL60440,46546
IL60441,49103
IL60442,6285
IL60443,15125
IL60444,1545
IL60445,25979
IL60446,20141
IL60447,7295
IL60448,19476
IL60449,5705
IL60450,19114
IL60451,27338
IL60452,27899
IL60453,54499
IL60455,16138
IL60456,4452
IL60457,14110
IL60458,14226
IL60459,27978
IL60460,1517
IL60461,4637
IL60462,38431
IL60463,13286
IL60464,9520
IL60465,17198
IL60466,30302
IL60467,20904
IL60468,5317
IL60469,4703
IL60470,687
IL60471,12855
IL60472,6672
IL60473,22218
IL60474,733
IL60475,9180
IL60476,2601
IL60477,56840
IL60478,16168
IL60479,717
IL60480,4758
IL60481,11346
IL60482,11262
IL60490,9263
IL604HH,0
IL60501,11175
IL60504,44412
IL60505,56971
IL60506,51184
IL60510,26565
IL60511,1862
IL60512,892
IL60513,19146
IL60514,17313
IL60515,27514
IL60516,30593
IL60517,31344
IL60518,3641
IL60519,74
IL60520,2770
IL60521,37496
IL60523,10231
IL60525,32475
IL60526,13301
IL60530,613
IL60531,1975
IL60532,27341
IL60534,10212
IL60536,96
IL60537,376
IL60538,13702
IL60539,0
IL60540,42065
IL60541,2628
IL60542,11007
IL60543,18769
IL60544,44284
IL60545,7638
IL60546,15700
IL60548,11054
IL60549,594
IL60550,1445
IL60551,5168
IL60552,3824
IL60553,700
IL60554,4812
IL60555,13852
IL60556,1797
IL60557,101
IL60558,12539
IL60559,25954
IL60560,11502
IL60561,23570
IL60563,31405
IL60564,32206
IL60565,40640
IL605HH,0
IL60601,5591
IL60602,70
IL60603,378
IL60604,78
IL60605,12423
IL60606,1682
IL60607,15552
IL60608,92472
IL60609,79469
IL60610,47513
IL60611,26522
IL60612,37990
IL60613,50548
IL60614,65474
IL60615,45096
IL60616,47073
IL60617,96288
IL60618,98147
IL60619,74963
IL60620,85771
IL60621,47514
IL60622,76015
IL60623,108144
IL60624,45647
IL60625,91351
IL60626,59251
IL60628,87827
IL60629,113984
IL60630,54781
IL60631,28832
IL60632,87577
IL60633,13262
IL60634,74164
IL60636,51451
IL60637,57090
IL60638,55788
IL60639,92951
IL60640,74030
IL60641,73824
IL60643,52568
IL60644,59059
IL60645,44197
IL60646,27016
IL60647,98769
IL60649,54823
IL60651,77583
IL60652,39126
IL60653,34502
IL60654,7
IL60655,29138
IL60656,27129
IL60657,66789
IL60659,39155
IL60660,47726
IL60661,4382
IL606HH,0
IL60706,22809
IL60707,42621
IL60712,12371
IL60714,31051
IL60803,22757
IL60804,86133
IL60805,20821
IL60827,33209
IL608HH,0
IL60901,37224
IL60910,537
IL60911,1415
IL60912,643
IL60913,1498
IL60914,22499
IL60915,10439
IL60917,561
IL60918,913
IL60919,525
IL60920,162
IL60921,1669
IL60922,2677
IL60924,1739
IL60926,76
IL60927,2288
IL60928,732
IL60929,768
IL60930,890
IL60931,689
IL60932,135
IL60933,349
IL60934,310
IL60935,846
IL60936,4218
IL60938,2222
IL60940,3172
IL60941,1986
IL60942,6889
IL60945,202
IL60946,447
IL60948,1496
IL60949,739
IL60950,8946
IL60951,1174
IL60952,698
IL60953,2537
IL60954,7113
IL60955,2045
IL60957,5680
IL60959,1069
IL60960,1108
IL60961,820
IL60962,589
IL60963,1686
IL60964,7077
IL60966,1735
IL60967,86
IL60968,452
IL60969,95
IL60970,7582
IL60973,442
IL60974,340
IL609HH,0
IL61001,1072
IL61006,1910
IL61007,548
IL61008,28361
IL61010,7139
IL61011,1976
IL61012,1933
IL61013,460
IL61014,1214
IL61015,993
IL61016,3933
IL61018,1133
IL61019,3482
IL61020,1667
IL61021,23360
IL61024,2579
IL61025,4886
IL61028,1978
IL61030,2250
IL61031,1750
IL61032,32632
IL61036,6185
IL61037,138
IL61038,1371
IL61039,872
IL61041,1326
IL61042,578
IL61044,234
IL61046,2920
IL61047,2028
IL61048,4516
IL61049,505
IL61050,447
IL61051,1638
IL61052,1238
IL61053,3228
IL61054,3991
IL61057,63
IL61059,135
IL61060,1469
IL61061,7358
IL61062,1972
IL61063,4036
IL61064,4035
IL61065,7161
IL61067,922
IL61068,14559
IL61070,1117
IL61071,14862
IL61072,8612
IL61073,15981
IL61074,4972
IL61075,1039
IL61077,42
IL61078,1430
IL61080,8848
IL61081,22844
IL61084,2796
IL61085,3587
IL61087,1729
IL61088,4790
IL61089,944
IL61091,10
IL610HH,0
IL61101,23347
IL61102,20383
IL61103,24368
IL61104,20421
IL61107,30040
IL61108,27370
IL61109,26584
IL61111,20555
IL61112,3
IL61114,15557
IL61115,20431
IL611HH,0
IL61201,39151
IL61230,1183
IL61231,6021
IL61232,358
IL61233,524
IL61234,1302
IL61235,1442
IL61236,58
IL61238,3388
IL61239,301
IL61240,6033
IL61241,6944
IL61242,1158
IL61243,244
IL61244,22300
IL61250,2807
IL61251,317
IL61252,5823
IL61254,11399
IL61256,1506
IL61257,1402
IL61259,1209
IL61260,812
IL61261,963
IL61262,878
IL61263,307
IL61264,12316
IL61265,46646
IL61270,7781
IL61272,1464
IL61273,3163
IL61274,404
IL61275,4606
IL61276,71
IL61277,3518
IL61279,1023
IL61281,2615
IL61282,8962
IL61283,1675
IL61284,3439
IL61285,1659
IL612HH,0
IL61301,10433
IL61310,4163
IL61311,353
IL61312,736
IL61313,316
IL61314,991
IL61315,253
IL61316,250
IL61317,324
IL61318,722
IL61319,1157
IL61320,738
IL61321,342
IL61322,1677
IL61323,102
IL61324,107
IL61325,1010
IL61326,2444
IL61327,1190
IL61328,96
IL61329,1322
IL61330,1567
IL61331,51
IL61332,36
IL61333,436
IL61334,757
IL61335,591
IL61336,663
IL61337,479
IL61338,375
IL61340,327
IL61341,7509
IL61342,9221
IL61344,428
IL61345,884
IL61346,94
IL61348,4381
IL61349,1051
IL61350,24207
IL61353,1298
IL61354,10647
IL61356,11255
IL61358,524
IL61359,273
IL61360,2995
IL61361,1474
IL61362,5785
IL61363,272
IL61364,20540
IL61367,920
IL61368,1476
IL61369,1661
IL61370,1323
IL61372,120
IL61373,1998
IL61374,122
IL61375,1244
IL61376,2229
IL61377,1390
IL61378,545
IL61379,1381
IL613HH,0
IL61401,36568
IL61410,4174
IL61411,419
IL61412,1391
IL61413,1244
IL61414,1013
IL61415,1975
IL61416,152
IL61417,324
IL61418,664
IL61419,46
IL61420,1251
IL61421,1470
IL61422,3639
IL61423,779
IL61424,146
IL61425,743
IL61426,114
IL61427,2427
IL61428,954
IL61430,718
IL61431,328
IL61432,691
IL61434,3610
IL61435,85
IL61436,1021
IL61437,917
IL61438,766
IL61439,282
IL61440,875
IL61441,1007
IL61442,920
IL61443,14381
IL61447,1116
IL61448,4176
IL61449,518
IL61450,1838
IL61451,383
IL61452,339
IL61453,720
IL61454,771
IL61455,21659
IL61458,958
IL61459,424
IL61460,379
IL61462,12231
IL61465,1144
IL61466,357
IL61467,1241
IL61468,143
IL61469,2477
IL61470,617
IL61471,142
IL61472,666
IL61473,1772
IL61474,355
IL61475,240
IL61476,426
IL61477,775
IL61478,337
IL61479,169
IL61480,1385
IL61482,601
IL61483,2102
IL61484,965
IL61485,643
IL61486,1587
IL61488,1199
IL61489,999
IL61490,941
IL61491,2136
IL614HH,0
IL61501,1998
IL61516,698
IL61517,3139
IL61519,261
IL61520,18659
IL61523,10835
IL61524,140
IL61525,5477
IL61526,1173
IL61528,1608
IL61529,2665
IL61530,6181
IL61531,3347
IL61532,640
IL61533,2247
IL61534,1905
IL61535,1398
IL61536,2892
IL61537,3193
IL61539,224
IL61540,2915
IL61541,149
IL61542,4049
IL61543,55
IL61544,706
IL61545,651
IL61546,4402
IL61547,3412
IL61548,10206
IL61550,17088
IL61552,135
IL61554,43500
IL61559,3067
IL61560,705
IL61561,2863
IL61563,511
IL61564,994
IL61565,1676
IL61567,1053
IL61568,4162
IL61569,1215
IL61570,1783
IL61571,20338
IL61572,1069
IL615HH,0
IL61602,774
IL61603,19433
IL61604,33587
IL61605,18529
IL61606,9674
IL61607,10473
IL61610,5041
IL61611,23663
IL61614,34386
IL61615,18411
IL616HH,0
IL61701,37240
IL61704,35851
IL61720,366
IL61721,707
IL61722,631
IL61723,2436
IL61724,622
IL61725,1268
IL61726,2789
IL61727,10260
IL61728,1431
IL61729,1104
IL61730,381
IL61731,254
IL61732,2082
IL61733,980
IL61734,3054
IL61735,408
IL61736,1335
IL61737,577
IL61738,4457
IL61739,4868
IL61740,1746
IL61741,1827
IL61742,918
IL61743,270
IL61744,1991
IL61745,4026
IL61747,1472
IL61748,2589
IL61749,652
IL61750,126
IL61752,4147
IL61753,2932
IL61754,1277
IL61755,4074
IL61756,2106
IL61758,87
IL61759,1555
IL61760,2691
IL61761,45337
IL61764,14677
IL61769,639
IL61770,1143
IL61771,597
IL61772,388
IL61773,548
IL61774,1080
IL61775,310
IL61776,1343
IL61777,1027
IL61778,697
IL617HH,0
IL61801,29369
IL61802,16566
IL61810,389
IL61811,800
IL61812,420
IL61813,2147
IL61814,1249
IL61815,172
IL61816,487
IL61817,2838
IL61818,1746
IL61820,33624
IL61821,28583
IL61822,15375
IL61830,563
IL61831,180
IL61832,39127
IL61833,2132
IL61834,7843
IL61839,601
IL61840,709
IL61841,1352
IL61842,2914
IL61843,2072
IL61844,1037
IL61845,1839
IL61846,5163
IL61847,1213
IL61848,221
IL61849,1754
IL61850,572
IL61851,497
IL61852,282
IL61853,10454
IL61854,1573
IL61855,74
IL61856,6762
IL61857,167
IL61858,2833
IL61859,1294
IL61862,511
IL61863,840
IL61864,1553
IL61865,1331
IL61866,14201
IL61870,1357
IL61871,175
IL61872,712
IL61873,5020
IL61874,4355
IL61875,795
IL61876,851
IL61877,1516
IL61878,1577
IL61880,3461
IL61882,684
IL61883,4622
IL61884,1172
IL618HH,0
IL61910,4370
IL61911,4085
IL61912,1410
IL61913,1882
IL61914,1842
IL61917,646
IL61919,803
IL61920,24572
IL61924,2602
IL61925,924
IL61928,857
IL61929,766
IL61930,607
IL61931,1231
IL61932,461
IL61933,1334
IL61936,310
IL61937,2746
IL61938,22264
IL61940,301
IL61941,117
IL61942,1334
IL61943,1900
IL61944,13791
IL61949,110
IL61951,7226
IL61953,6285
IL61956,2909
IL61957,1870
IL619HH,0
IL62001,1596
IL62002,34062
IL62006,476
IL62009,2171
IL62010,10648
IL62011,391
IL62012,6563
IL62013,731
IL62014,4073
IL62015,569
IL62016,4001
IL62017,1287
IL62018,4387
IL62019,616
IL62021,965
IL62022,962
IL62023,114
IL62024,12439
IL62025,29749
IL62027,591
IL62028,1208
IL62030,128
IL62031,1128
IL62032,764
IL62033,5055
IL62034,12015
IL62035,15808
IL62036,601
IL62037,1842
IL62040,46104
IL62044,2088
IL62045,587
IL62046,388
IL62047,1559
IL62048,1508
IL62049,6839
IL62050,509
IL62051,2952
IL62052,12192
IL62053,780
IL62054,899
IL62056,8914
IL62058,760
IL62059,668
IL62060,5816
IL62061,1455
IL62062,4431
IL62063,1291
IL62065,114
IL62067,2089
IL62069,3447
IL62070,63
IL62074,1164
IL62075,3693
IL62077,116
IL62078,121
IL62079,180
IL62080,2463
IL62081,366
IL62082,3282
IL62083,317
IL62084,1433
IL62085,24
IL62086,1702
IL62087,1889
IL62088,6816
IL62089,281
IL62090,1589
IL62091,352
IL62092,3155
IL62093,343
IL62094,1251
IL62095,10482
IL62097,2530
IL620HH,0
IL62201,8452
IL62203,10275
IL62204,10725
IL62205,10343
IL62206,18315
IL62207,9841
IL62208,14752
IL62214,1291
IL62215,1208
IL62216,934
IL62217,4114
IL62218,1455
IL62219,949
IL62220,19902
IL62221,22252
IL62223,17207
IL62225,5348
IL62226,27065
IL62230,5733
IL62231,6980
IL62232,7101
IL62233,6558
IL62234,31986
IL62236,10517
IL62237,3161
IL62238,830
IL62239,4766
IL62240,1968
IL62241,1158
IL62242,1425
IL62243,5433
IL62244,1192
IL62245,2490
IL62246,10003
IL62249,13449
IL62250,462
IL62253,828
IL62254,5253
IL62255,1139
IL62257,3832
IL62258,7381
IL62260,5997
IL62261,221
IL62262,1868
IL62263,5270
IL62264,3222
IL62265,4108
IL62266,109
IL62268,781
IL62269,26249
IL62271,2026
IL62272,1636
IL62273,46
IL62274,8532
IL62275,3681
IL62277,1491
IL62278,6812
IL62279,26
IL62280,443
IL62281,1719
IL62283,721
IL62284,622
IL62285,3121
IL62286,6408
IL62288,2977
IL62289,312
IL62292,643
IL62293,4576
IL62294,12479
IL62295,923
IL62297,411
IL62298,14024
IL622HH,0
IL62301,52461
IL62311,974
IL62312,2206
IL62313,395
IL62314,698
IL62316,740
IL62318,358
IL62319,266
IL62320,2257
IL62321,4328
IL62323,294
IL62324,1519
IL62325,474
IL62326,2697
IL62330,1730
IL62334,151
IL62336,65
IL62338,1364
IL62339,930
IL62340,1800
IL62341,3731
IL62343,790
IL62344,185
IL62345,415
IL62346,254
IL62347,2177
IL62348,255
IL62349,670
IL62351,1806
IL62352,353
IL62353,5526
IL62354,1559
IL62355,895
IL62356,725
IL62357,272
IL62358,646
IL62359,192
IL62360,1753
IL62361,555
IL62362,468
IL62363,6332
IL62365,691
IL62366,1447
IL62367,1337
IL62370,641
IL62373,415
IL62374,303
IL62375,381
IL62376,1143
IL62378,967
IL62379,2257
IL62380,438
IL623HH,0
IL62401,19070
IL62410,1094
IL62411,4185
IL62413,441
IL62414,1639
IL62417,3390
IL62418,2024
IL62419,417
IL62420,4983
IL62421,861
IL62422,1173
IL62423,738
IL62424,2069
IL62425,716
IL62426,1187
IL62427,1904
IL62428,3187
IL62431,1287
IL62432,575
IL62433,1057
IL62434,540
IL62436,572
IL62438,404
IL62439,8019
IL62440,1445
IL62441,7435
IL62442,2574
IL62443,1458
IL62444,339
IL62445,1127
IL62446,450
IL62447,3684
IL62448,6063
IL62449,3212
IL62450,11900
IL62451,2234
IL62452,405
IL62454,11732
IL62458,2235
IL62459,261
IL62460,1188
IL62461,793
IL62462,1210
IL62463,1420
IL62465,970
IL62466,2577
IL62467,3664
IL62468,2468
IL62469,322
IL62471,10206
IL62473,1481
IL62474,924
IL62475,416
IL62476,1937
IL62477,1131
IL62478,414
IL62479,790
IL62480,880
IL62481,439
IL624HH,0
IL62501,1566
IL62510,1819
IL62511,176
IL62512,552
IL62513,1785
IL62514,340
IL62515,1010
IL62517,225
IL62518,468
IL62519,85
IL62520,1451
IL62521,37281
IL62522,18458
IL62523,879
IL62526,36440
IL62530,1561
IL62531,1955
IL62532,53
IL62533,1105
IL62534,1213
IL62535,2572
IL62536,942
IL62537,144
IL62538,418
IL62539,1367
IL62540,1392
IL62541,33
IL62543,545
IL62544,1714
IL62545,948
IL62546,1755
IL62547,784
IL62548,2397
IL62549,5740
IL62550,2951
IL62551,867
IL62552,1063
IL62553,501
IL62554,1710
IL62555,613
IL62556,418
IL62557,7701
IL62558,3564
IL62560,1405
IL62561,4750
IL62563,4868
IL62565,7659
IL62567,1227
IL62568,16328
IL62570,516
IL62571,1481
IL62572,457
IL62573,1614
IL625HH,0
IL62601,512
IL62610,224
IL62611,1175
IL62612,1986
IL62613,3428
IL62615,5424
IL62617,792
IL62618,7578
IL62621,1219
IL62624,624
IL62625,853
IL62626,8566
IL62627,1157
IL62628,1033
IL62629,9543
IL62630,610
IL62631,269
IL62633,722
IL62634,964
IL62635,651
IL62638,1398
IL62639,341
IL62640,3699
IL62642,1607
IL62643,442
IL62644,5773
IL62649,554
IL62650,27581
IL62655,622
IL62656,20703
IL62661,1294
IL62663,340
IL62664,3338
IL62665,1675
IL62666,696
IL62667,598
IL62668,1584
IL62670,2725
IL62671,761
IL62672,296
IL62673,620
IL62674,1541
IL62675,5949
IL62677,2501
IL62681,5089
IL62682,1031
IL62684,3739
IL62685,2213
IL62686,158
IL62688,944
IL62689,538
IL62690,4157
IL62691,2550
IL62692,2107
IL62693,1712
IL62694,3281
IL62695,433
IL626HH,0
IL62701,1122
IL62702,39437
IL62703,31211
IL62704,41264
IL62707,27197
IL627HH,0
IL62801,24141
IL62803,956
IL62806,3433
IL62807,904
IL62808,1496
IL62809,239
IL62810,1005
IL62811,377
IL62812,11349
IL62814,2134
IL62815,440
IL62816,1320
IL62817,610
IL62818,345
IL62819,470
IL62820,207
IL62821,8049
IL62822,2972
IL62823,1677
IL62824,1920
IL62825,216
IL62827,1171
IL62828,1538
IL62829,157
IL62830,1460
IL62831,695
IL62832,9677
IL62833,376
IL62835,1342
IL62836,806
IL62837,9072
IL62838,1507
IL62839,6834
IL62842,840
IL62843,116
IL62844,2238
IL62846,2724
IL62848,753
IL62849,2195
IL62850,579
IL62851,394
IL62852,240
IL62853,945
IL62854,1858
IL62857,68
IL62858,3235
IL62859,5630
IL62860,604
IL62861,182
IL62862,432
IL62863,10933
IL62864,24929
IL62865,1879
IL62867,621
IL62868,1941
IL62869,2542
IL62870,2132
IL62871,734
IL62872,1327
IL62874,74
IL62875,1228
IL62876,330
IL62877,613
IL62878,463
IL62879,120
IL62880,723
IL62881,11767
IL62882,2641
IL62883,607
IL62884,3083
IL62885,837
IL62886,437
IL62887,342
IL62888,2163
IL62889,943
IL62890,2511
IL62891,565
IL62892,381
IL62893,1001
IL62894,911
IL62895,2144
IL62896,12949
IL62897,335
IL62898,1898
IL62899,1385
IL628HH,0
IL628XX,25
IL62901,30069
IL62905,648
IL62906,7802
IL62907,2122
IL62908,512
IL62910,2725
IL62912,1056
IL62914,4044
IL62915,189
IL62916,759
IL62917,2639
IL62918,8632
IL62919,1140
IL62920,3177
IL62921,353
IL62922,3034
IL62923,517
IL62924,2721
IL62926,2356
IL62927,312
IL62928,258
IL62930,6754
IL62931,1630
IL62932,1715
IL62933,1005
IL62934,1195
IL62935,2055
IL62938,3077
IL62939,2896
IL62940,432
IL62941,890
IL62942,742
IL62943,547
IL62946,14104
IL62947,597
IL62948,11834
IL62949,612
IL62950,232
IL62951,5330
IL62952,3422
IL62953,427
IL62954,615
IL62956,989
IL62957,1174
IL62958,1908
IL62959,24807
IL62960,11453
IL62962,93
IL62963,730
IL62964,1740
IL62966,20166
IL62967,353
IL62969,879
IL62970,675
IL62972,408
IL62974,1401
IL62975,240
IL62976,564
IL62977,595
IL62979,1408
IL62982,1423
IL62983,1453
IL62984,2147
IL62985,953
IL62987,997
IL62988,2138
IL62990,1098
IL62991,685
IL62992,1137
IL62993,143
IL62994,872
IL62995,5953
IL62996,759
IL62997,663
IL62998,491
IL62999,1709
IL629HH,0
IN46001,12346
IN46011,17230
IN46012,20986
IN46013,17367
IN46016,21688
IN46017,6392
IN46030,3342
IN46031,2283
IN46032,34727
IN46033,29067
IN46034,6113
IN46035,1210
IN46036,13029
IN46038,39709
IN46039,839
IN46040,7744
IN46041,24929
IN46044,2976
IN46045,55
IN46047,75
IN46048,1256
IN46049,973
IN46050,1787
IN46051,2611
IN46052,21080
IN46055,3578
IN46056,2139
IN46057,1145
IN46058,2108
IN46060,42109
IN46063,105
IN46064,11751
IN46065,3052
IN46068,2957
IN46069,6681
IN46070,2433
IN46071,3430
IN46072,9376
IN46074,10591
IN46075,1767
IN46076,1845
IN46077,15885
IN460HH,0
IN46102,40
IN46103,182
IN46104,1124
IN46105,1847
IN46106,4143
IN46107,12642
IN46110,501
IN46111,181
IN46112,25403
IN46113,6666
IN46115,1958
IN46117,662
IN46118,4603
IN46120,6010
IN46121,4349
IN46122,12342
IN46123,20595
IN46124,7818
IN46125,56
IN46126,4895
IN46127,374
IN46128,1971
IN46130,2219
IN46131,27518
IN46133,919
IN46135,19969
IN46140,32694
IN46142,30945
IN46143,31623
IN46144,192
IN46147,3056
IN46148,4753
IN46149,1775
IN46150,928
IN46151,32420
IN46155,164
IN46156,1575
IN46157,2607
IN46158,23758
IN46160,6006
IN46161,2606
IN46162,411
IN46163,9574
IN46164,4133
IN46165,1631
IN46166,2180
IN46167,4691
IN46168,22790
IN46171,1679
IN46172,2500
IN46173,11661
IN46175,581
IN46176,26672
IN46180,957
IN46181,4117
IN46182,1971
IN46184,9539
IN46186,1689
IN461HH,0
IN46201,39156
IN46202,14997
IN46203,40433
IN46204,6636
IN46205,29701
IN46208,25531
IN46214,22287
IN46216,261
IN46217,19210
IN46218,34607
IN46219,36501
IN46220,35264
IN46221,24055
IN46222,36364
IN46224,35166
IN46225,8262
IN46226,44865
IN46227,52818
IN46228,15143
IN46229,23498
IN46231,5513
IN46234,18222
IN46235,24070
IN46236,26552
IN46237,29770
IN46239,13654
